"gene","pathway"
"AQP2","OMIM:125800"
"AQP2","ORPHA:223"
"AQP5","ORPHA:2337"
"AR","ORPHA:90797"
"AR","ORPHA:99429"
"AR","OMIM:313200"
"AR","OMIM:300633"
"AR","ORPHA:440"
"AR","OMIM:312300"
"AR","OMIM:300068"
"AR","ORPHA:481"
"ABCC6","OMIM:264800"
"ABCC6","OMIM:614473"
"ABCC6","ORPHA:51608"
"ABCC6","OMIM:177850"
"ABCC6","ORPHA:758"
"ARCN1","OMIM:617164"
"ARG1","ORPHA:90"
"ARG1","OMIM:207800"
"ARHGDIA","OMIM:615244"
"ARHGDIA","ORPHA:93217"
"PHOX2A","OMIM:602078"
"PHOX2A","ORPHA:45358"
"ARSA","OMIM:250100"
"ARSA","ORPHA:309263"
"ARSA","ORPHA:309271"
"ARSA","ORPHA:309256"
"ARSB","ORPHA:276223"
"ARSB","ORPHA:276212"
"ARSB","OMIM:253200"
"STS","ORPHA:281090"
"STS","OMIM:308100"
"STS","ORPHA:461"
"ARSE","ORPHA:79345"
"ARSE","OMIM:302950"
"ARVCF","ORPHA:567"
"ASAH1","OMIM:159950"
"ASAH1","ORPHA:333"
"ASAH1","OMIM:228000"
"ASAH1","ORPHA:2590"
"ASCL1","ORPHA:99803"
"ASCL1","OMIM:209880"
"ASL","OMIM:207900"
"ASL","ORPHA:23"
"ASNS","OMIM:615574"
"ASNS","ORPHA:391376"
"ASPA","OMIM:271900"
"ASPA","ORPHA:314911"
"ASPA","ORPHA:314918"
"ASPH","ORPHA:412022"
"ASPH","OMIM:601552"
"ASS1","OMIM:215700"
"ASS1","ORPHA:247573"
"ASS1","ORPHA:247546"
"SERPINC1","OMIM:613118"
"SERPINC1","ORPHA:82"
"ATIC","ORPHA:250977"
"ATIC","OMIM:608688"
"ATM","ORPHA:100"
"ATM","OMIM:208900"
"ATM","ORPHA:52416"
"ATM","ORPHA:370109"
"ATM","ORPHA:67038"
"ATM","ORPHA:370114"
"RERE","OMIM:616975"
"RERE","ORPHA:494344"
"RERE","ORPHA:1606"
"ATP1A2","ORPHA:2131"
"ATP1A2","ORPHA:569"
"ATP1A2","OMIM:104290"
"ATP1A2","OMIM:602481"
"ATP1A3","ORPHA:71517"
"ATP1A3","ORPHA:2131"
"ATP1A3","OMIM:614820"
"ATP1A3","OMIM:601338"
"ATP1A3","OMIM:128235"
"ATP1A3","ORPHA:1171"
"FXYD2","OMIM:154020"
"FXYD2","ORPHA:34528"
"ATP2A1","OMIM:601003"
"ATP2A1","ORPHA:53347"
"ATP2A2","ORPHA:218"
"ATP2A2","ORPHA:79151"
"ATP2A2","OMIM:101900"
"ATP2A2","OMIM:124200"
"ATP5F1A","OMIM:615228"
"ATP5F1A","ORPHA:254913"
"ATP5F1A","OMIM:616045"
"ALDH7A1","ORPHA:3006"
"ALDH7A1","OMIM:266100"
"ATP5F1E","OMIM:614053"
"ATP5F1E","ORPHA:254913"
"ATP6V1A","OMIM:617403"
"ATP6V1A","ORPHA:357074"
"ATP6V1B1","ORPHA:402041"
"ATP6V1B1","OMIM:267300"
"ATP6V1B2","OMIM:124480"
"ATP6V1B2","OMIM:616455"
"ATP6V1B2","ORPHA:79499"
"ATP6V1B2","ORPHA:3473"
"ATP6V1E1","OMIM:617402"
"ATP6V1E1","ORPHA:357074"
"ATP6AP1","OMIM:300972"
"ATP7A","ORPHA:139557"
"ATP7A","OMIM:304150"
"ATP7A","OMIM:300489"
"ATP7A","ORPHA:198"
"ATP7A","OMIM:309400"
"ATP7A","ORPHA:565"
"ATP7B","ORPHA:905"
"ATP7B","OMIM:277900"
"ATR","ORPHA:313846"
"ATR","OMIM:614564"
"ATR","ORPHA:808"
"ATR","OMIM:210600"
"ATRX","OMIM:309580"
"ATRX","ORPHA:231401"
"ATRX","ORPHA:93973"
"ATRX","OMIM:301040"
"ATRX","ORPHA:93970"
